Name,Pos,City,State,Height,Weight,Stars,Grade,School,Pos_rank,Reg_rank,State_rank,Year,Team,University, Reg_rank, State_rank
Robert Spillane,RB,Oak Park,IL,6'1'',215,75.0,Western Michigan,,110,,,2014,Western Michigan,,130,29
Chukwuma Okorafor,OT,Southfield,MI,6'5'',270,74.0,Western Michigan,,102,,,2014,Western Michigan,,161,25
Javonte Seabury,ATH,Orlando,FL,5'9'',165,74.0,Western Michigan,,122,,,2014,Western Michigan,,,
Leo Ekwoge,RB,Olney,MD,5'11'',195,73.0,Western Michigan,,146,,,2014,Western Michigan,,196,34
Curtis Doyle,OT,Alma,MI,6'5'',310,73.0,Western Michigan,,127,,,2014,Western Michigan,,,
Elliott Jordan,OT,Kentwood,MI,6'6'',255,73.0,Western Michigan,,199,,,2014,Western Michigan,,,
Asantay Brown,ATH,North Shores,MI,6'0'',180,73.0,Western Michigan,,150,,,2014,Western Michigan,,205,32
Jamauri Bogan,RB,Union,NJ,5'6'',164,73.0,Western Michigan,,150,,,2014,Western Michigan,,214,47
Zach Novoselsky,OT,Lincolnshire,IL,6'5'',260,72.0,Western Michigan,,147,,,2014,Western Michigan,,228,50
Deontae Brown,S,Chicago,IL,6'1'',195,69.0,Western Michigan,,148,,,2014,Western Michigan,,254,55
Antione Stone,RB,Bedford,OH,5'10'',180,,Western Michigan,,,,,2014,Western Michigan,, None, None
Jordan Billingslea,CB,Southfield,MI,5'7'',153,,Western Michigan,,NR,,,2014,Western Michigan,, NR, NR
Nick Matich,DT,Clarkston,MI,6'2'',280,,Western Michigan,,,,,2014,Western Michigan,,,
Lucas Bezerra,TE-Y,Troy,MI,6'4'',233,,Western Michigan,,,,,2014,Western Michigan,,,
Nathan Braster,DE,Fort Wayne,IN,6'5'',240,,Western Michigan,,,,,2014,Western Michigan,,,
Jarvion Franklin,RB,Tinley Park,IL,6'0'',220,,Western Michigan,,,,,2014,Western Michigan,, None, None
Alon Sims,OLB,Royal Palm Beach,FL,6'2'',177,,Western Michigan,,,,,2014,Western Michigan,, None, None
Jacari Faulkner,DE,Detroit,MI,6'2'',242,,Western Michigan,,,,,2014,Western Michigan,,,
Wyatt Pfeifer,OG,Delaware,OH,6'3'',250,,Western Michigan,,,,,2014,Western Michigan,,,
Chris McDaniel,ATH,Detroit,MI,6'3'',235,,Western Michigan,,,,,2014,Western Michigan,, None, None
Del'Shawn Phillips,ILB,Detroit,MI,6'2'',225,,Western Michigan,,,,,2014,Western Michigan,,,
Jason Sylva,ILB,Franklin,MA,6'2'',245,,Western Michigan,,,,,2014,Western Michigan,, None, None
Jakevin Jackson,OLB,Milledgeville,GA,6'3'',225,,Western Michigan,,,,,2014,Western Michigan,,,
Kenneth Finley Jr,DT,Muskegon,MI,6'2'',285,76,Western Michigan,,,,,2015,Western Michigan,, None, None
Kadeem Goulbourne,WR,Weston,FL,6'3'',195,75,Western Michigan,,,,,2015,Western Michigan,, None, None
Justin Tranquill,ATH,Fort Wayne,IN,5'11'',175,75,Western Michigan,,125,,,2015,Western Michigan,,,
Paul Engram,ILB,Detroit,MI,6'0'',220,74,Western Michigan,,43,,,2015,Western Michigan,,136,16
Sam Beal,WR,Grand Rapids,MI,6'1'',180,73,Western Michigan,,173,,,2015,Western Michigan,,,
Davon Tucker,RB,Somerdale,NJ,5'10'',205,73,Western Michigan,,144,,,2015,Western Michigan,,,
Alex Grace,RB,Saginaw,MI,6'1'',200,73,Western Michigan,,145,,,2015,Western Michigan,,164,23
Keishawn Watson,ATH,Wheaton,IL,5'11'',165,73,Western Michigan,,134,,,2015,Western Michigan,,,
John Keenoy,OG,Kentwood,MI,6'3'',303,73,Western Michigan,,117,,,2015,Western Michigan,,172,24
Davontae Ginwright,S,Southfield,MI,6'2'',185,71,Western Michigan,,138,,,2015,Western Michigan,,215,36
Donte Horton,DE,West Chester,OH,6'5'',200,71,Western Michigan,,146,,,2015,Western Michigan,,222,82
Jon Wassink,QB,Grand Rapids,MI,6'3'',186,70,Western Michigan,,,,,2015,Western Michigan,,230,39
Giovanni Ricci,WR,Loveland,OH,6'3'',195,70,Western Michigan,,215,,,2015,Western Michigan,,,
Anton Curtis,ATH,Detroit,MI,6'2'',164,70,Western Michigan,,233,,,2015,Western Michigan,,,
Da'Rion King,TE,Y,Racine,WI,6'5'',215,69,,139,,,2015,Western Michigan,Western Michigan,813,293
Justin Spencer,CB,Oviedo,FL,5'11'',180,69,Western Michigan,,,,,2015,Western Michigan,, None, None
Parker Underwood,TE,Y,Haslett,MI,6'4'',235,68,,NR,,,2015,Western Michigan,Western Michigan,,
Levante' Bellamy,RB,Indianapolis,IN,5'9'',170,NR,Western Michigan,,NR,,,2015,Western Michigan,, NR, NR
Wesley French,OT,Saint Joseph,MI,6'5'',290,NR,Western Michigan,,,,,2015,Western Michigan,, None, None
Cario Davison,OLB,Galion,OH,6'1'',194,NR,Western Michigan,,,,,2015,Western Michigan,,,
Tom Flacco,QB,Voorhees,NJ,6'1'',183,NR,Western Michigan,,,,,2015,Western Michigan,,,
