Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank,Reg_rank,State_rank,Year,Team, Reg_rank, State_rank,Stars,School,University  , State_rank 
Ethan Lane,OC,Lawrenceville,GA,6'3'',270,NC State,,7,,,2020,North Carolina State,247,61,78,,,
Davin Vann,DT,Cary,NC,6'2'',275,NC State,,42,,,2020,North Carolina State,,,78,,,
Jayland Parker,ILB,Macon,GA,6'2'',210,NC State,,15,,,2020,North Carolina State,268,66,78,,,
Chris Scott,WR,Dacula,GA,6'0'',160,NC State,,120,,,2020,North Carolina State,329,80,77,,,
Anthony Carter Jr.,OG,Matthews,NC,6'4'',295,NC State,,45,,,2020,North Carolina State,335,24,77,,,
Devan Boykin,CB,Jamestown,NC,5'11'',180,NC State,,58,,,2020,North Carolina State,339,26,77,,,
Claude Larkins,DE,Hollywood,FL,6'4'',215,NC State,,80,,,2020,North Carolina State,,,76,,,
Aydan White,CB,Arden,NC,6'1'',170,NC State,,68,,,2020,North Carolina State,424,30,76,,,
Ian Williams,K,Matthews,NC,6'3'',180,NC State,,8,,,2020,North Carolina State,438,32,76,,,
Sean Hill,OG,Snellville,GA,6'4'',300,NC State,,75,,,2020,North Carolina State,446,105,75,,,
Jalen Coit,WR,Cheraw,SC,5'11'',160,NC State,,164,,,2020,North Carolina State,457,15,75,,,
Ben Finley,QB-PP,Phoenix,AZ,6'1'',175,NC State,,41,,,2020,North Carolina State,157,25,75,,,
Devon Betty,OLB,Fort Lauderdale,FL,6'0'',210,NC State,,,,,2020,North Carolina State,114,550,74,,,
Ezemdi Udoh,TE-Y,Fayetteville,NC,6'5'',225,NC State,,6,,,2020,North Carolina State,604,39,74,,,
Nick Booker-Brown,DT,Houston,TX,6'1'',260,NC State,,74,,,2020,North Carolina State,93,285,74,,,
Joshua Crabtree,WR,Wake Forest,NC,6'2'',175,NC State,,243,,,2020,North Carolina State,,,73,,,
Patrick Matan,OT,Washington,DC,6'4'',275,NC State,,145,,,2020,North Carolina State,194,16,73,,,
Aaron McLaughlin,QB-PP,Alpharetta,GA,6'5'',223,86,,10,,,2021,North Carolina State,23,6,,,NC State  ,
Micah Crowell,WR,Kernersville,NC,6'1'',205,83,,31,,,2021,North Carolina State,81,11,,,NC State  ,
Jordan Poole,OLB,Oakboro,NC,6'0'',220,83,,23,,,2021,North Carolina State,85,12,,,NC State  ,
Chase Hattley,S,Cary,NC,6'3'',205,80,,23,,,2021,North Carolina State,153,27,,,NC State  ,
Travali Price,DE,Lincolnton,NC,6'4'',245,79,,47,,,2021,North Carolina State,,,,,NC State  ,
Thornton Gentry,OG,Chapin,SC,6'4'',280,78,,33,,,2021,North Carolina State,232,7,,,NC State  ,
Fredrick Seabrough,TE-Y,Swainsboro,GA,6'4'',220,78,,19,,,2021,North Carolina State,,,,,NC State  ,
Zyun Reeves,DE,Kernersville,NC,6'7'',245,77,,75,,,2021,North Carolina State,293,38,,,NC State  ,
Caden Fordham,OLB,Ponte Vedra Beach,FL,6'2'',200,76,,390,,,2021,North Carolina State,,,,,NC State  ,
Nate Evans,ATH,Virginia Beach,VA,6'1'',175,76,,76,,,2021,North Carolina State,116,26,,,NC State  ,
Mario Love,CB,Cornelius,NC,5'10'',170,76,,84,,,2021,North Carolina State,434,48,,,NC State  ,
Jakolbe Baldwin,WR,Rockingham,NC,6'0'',175,75,,163,,,2021,North Carolina State,490,58,,,NC State  ,
Lyndon Cooper,OG,Carrollton,GA,6'3'',315,75,,61,,,2021,North Carolina State,508,109,,,NC State  ,
Julian Gray,WR,Huntersville,NC,5'11'',175,75,,173,,,2021,North Carolina State,519,61,,,NC State  ,
Jaleel Davis,OT,Rockingham,NC,6'5'',295,75,,105,,,2021,North Carolina State,522,63,,,NC State  ,
Anthony Belton,OT Tallahassee,FL,6'6'',325,75,NC State  ,,7,,,2021,North Carolina State,,,,,,
Demie Sumo,RB,Willingboro,NJ,6'0'',190,74,,106,,,2021,North Carolina State,,,,,NC State  ,
Sean Brown,S,Cornelius,NC,6'1'',190,73,,123,,,2021,North Carolina State,719,75,,,NC State  ,
Jayden Tate,LS,Lincolnton,NC,5'11'',240,68,,11,,,2021,North Carolina State,969,99,,,NC State  ,
Cedric Seabrough,TE-H,Swainsboro,GA,6'4'',220,NR,,,,,2021,North Carolina State, None, None,,,NC State  ,
Darius Edmundson,CB (JC),Louisburg,NC,5'11'',170,NR,,1,,,2021,North Carolina State, NR, NR,,,NC State  ,
Cyrus Fagan,S (TR),Daytona Beach,FL,6'2'',185,TR,,,,,2021,North Carolina State,,,,,NC State  ,
