Name,Pos,City,State,Height,Weight,Grade,University,Pos_rank, Reg_rank, State_rank,Year,Team,Stars,Reg_rank,State_rank,School
T.J. Sheffield,WR,TR,Spring Hill,TN,5'11'',,,,,,2024,Michigan State,190.0,,,Purdue University
Jordan Turner,ILB,TR,Farmington Hills,MI,6'1'',,,,,,2024,Michigan State,238.0,,,University of Wisconsin
Quindarius Dunnigan,DE,TR,Chattanooga,TN,6'4'',,,,,,2024,Michigan State,256.0,,,Middle Tennessee Christian School
Tommy Schuster,QB-PP,TR,Macomb,MI,6'0'',,,,,,2024,Michigan State,195.0,,,University of North Dakota
Carson Voss,K,TR,Dansville,MI,6'0'',,,,,,2024,Michigan State,160.0,,,Western Michigan University
D'Quan Douse,DE,TR,Savannah,GA,6'2'',,,,,,2024,Michigan State,290.0,,,Georgia Institute of Technology
Wayne Matthews,OLB,TR,Suitland,MD,6'2'',,,,,,2024,Michigan State,225.0,,,Old Dominion University
Tanner Miller,OC,TR,Valencia,CA,6'1'',,,,,,2024,Michigan State,287.0,,,Oregon State University
Kaden Schickel,LS,TR,Fredericksburg,VA,6'2'',,,,,,2024,Michigan State,192.0,,,James Madison High School
Kay'ron Adams,RB,TR,Warren,OH,5'10'',,,,,,2024,Michigan State,205.0,,,University of Massachusetts Amherst
Ed Woods,CB,TR,Oakland,CA,6'0'',,,,,,2024,Michigan State,175.0,,,Arizona State University
Andrew Dennis,OT,TR,Mount Pleasant,MI,6'4'',,,,,,2024,Michigan State,285.0,,,University of Illinois
Ru'Quan Buckley,OT,TR,Grand Rapids,MI,6'5'',,,,,,2024,Michigan State,295.0,,,University of Nebraska
Tyler Gillison,OLB,TR,Pickerington,OH,6'3'',,,,,,2024,Michigan State,238.0,,,University of Cincinnati
Lejond Cavazos,CB,TR,San Antonio,TX,6'0'',,,,,,2024,Michigan State,195.0,,,University of North Carolina
Semaj Bridgeman,ILB,TR,Philadelphia,PA,6'2'',,,,,,2024,Michigan State,246.0,,,University of Michigan
Jeremiah Hughes,CB,TR,North Las Vegas,NV,6'0'',,,,,,2024,Michigan State,193.0,,,Louisiana State University
Nikai Martinez,CB,TR,Apopka,FL,5'11'',,,,,,2024,Michigan State,170.0,,,University of Central Florida
